Station ,2011,2012,2013,2014,2015,2016,Borough
Avenue N ,3458,3390,3411,3419,3410,3187,Brooklyn
Avenue P ,2696,2705,2757,2767,2804,2688,Brooklyn
Avenue U ,2229,2302,2296,2215,2439,2578,Brooklyn
Avenue U ,3804,3980,3738,3857,3894,1399,Brooklyn
Avenue U ,6816,6694,6821,6922,6975,7384,Brooklyn
Avenue X ,2810,2877,2972,2859,1928,2424,Brooklyn
Bay 50 St ,3117,2632,2793,2875,2872,3176,Brooklyn
Bay Pkwy ,6594,6726,7111,7322,7501,8069,Brooklyn
Bay Pkwy ,1398,1526,1575,1516,1491,1329,Brooklyn
Bay Pkwy ,6703,6892,6990,7301,7164,10955,Brooklyn
Bay Ridge Av ,8240,8206,8079,8283,8379,8415,Brooklyn
Bay Ridge-95 St ,5848,5996,5974,6051,6101,6090,Brooklyn
Bedford Av ,22520,23825,25755,27224,27132,27486,Brooklyn
Bedford-Nostrand Avs ,6348,6755,7300,7778,8197,8487,Brooklyn
Bergen St ,4344,4472,4070,3923,3823,3884,Brooklyn
Bergen St ,11048,11370,11562,11570,11548,11529,Brooklyn
Beverley Rd ,3567,3096,2340,2690,2894,3059,Brooklyn
Beverly Rd ,4146,4199,4375,4447,4457,4464,Brooklyn
Brighton Beach ,12421,12376,12185,12498,12794,13035,Brooklyn
Broadway ,3186,3272,3368,3500,4011,4340,Brooklyn
Broadway Junction ,8441,8790,8863,9149,9251,9189,Brooklyn
Bushwick Av-Aberdeen St ,1322,1371,1509,1683,1874,2105,Brooklyn
Canarsie-Rockaway Pkwy ,12817,13039,13254,13512,13481,13131,Brooklyn
Carroll St ,11906,13193,12339,11744,11923,11848,Brooklyn
Central Av ,2903,3445,1744,3282,3715,3884,Brooklyn
Chauncey St ,2984,3037,2967,3050,3200,3360,Brooklyn
Church Av ,9929,9851,9794,9852,9864,9808,Brooklyn
Church Av ,14876,16042,17638,17473,17811,17482,Brooklyn
Church Av ,10463,9985,9984,9954,10490,10151,Brooklyn
Clark St ,5596,5760,5971,6083,5922,5903,Brooklyn
